year,epsb_id,school_name,school_type,grades,latitude,longitude,sector,epsb_ward
2021,550.0,Avalon,JR,Gr 7-9,53.4918546392,-113.524420249,South Central,EPSB WARD F
2021,193.0,Clara Tyner,EL,K to Gr 6,53.5309641686,-113.435465614,South Central,EPSB WARD G
2021,209.0,Mayfield,EL,K to Gr 6,53.5557044765,-113.595289395,Northwest,EPSB WARD C
2021,198.0,York,EL,K to Gr 6,53.6013813933,-113.435150402,North,EPSB WARD B
2021,242.0,Lorelei,EL,K to Gr 6,53.6241636534,-113.501869182,North,EPSB WARD A
2021,118.0,Delton,EL,K to Gr 6,53.5758487049,-113.478502756,Central,EPSB WARD D
2021,238.0,Sifton,EL,K to Gr 6,53.5942646851,-113.408118444,Northeast,EPSB WARD B
2021,522.0,D. S. MacKenzie,JR,Gr 7-9,53.4760352503,-113.506080263,Southwest 1,EPSB WARD F
2021,264.0,Daly Grove,EL,K to Gr 6,53.4498635546,-113.399857242,Southeast 1,EPSB WARD I
2021,561.0,Edith Rogers,JR,Gr 7-9,53.474192323,-113.456068083,Southeast 1,EPSB WARD G
2021,929.0,Shauna May Seneca,EJ,K to Gr 9,53.4114301502,-113.427498267,Southeast 2,EPSB WARD I
2021,278.0,Earl Buxton,EL,K to Gr 6,53.4740281823,-113.582519558,Southwest 1,EPSB WARD F
2021,228.0,Belmont,EL,K to Gr 6,53.5933866602,-113.392734672,Northeast,EPSB WARD B
2021,223.0,Malcolm Tweddle,EL,K to Gr 6,53.4773089408,-113.457651966,Southeast 1,EPSB WARD G
2021,215.0,Evansdale,EL,K to Gr 6,53.6104180991,-113.484169589,North,EPSB WARD A
2021,257.0,Meyokumin,EL,K to Gr 6,53.4502502348,-113.427851578,Southeast 1,EPSB WARD I
2021,137.0,Kensington,EL,K to Gr 9,53.5952757261,-113.527461554,North,EPSB WARD A
2021,258.0,Pollard Meadows,EL,K to Gr 6,53.4486762578,-113.41337855,Southeast 1,EPSB WARD I
2021,197.0,Westbrook,EL,K to Gr 6,53.475880747,-113.539541945,Southwest 1,EPSB WARD F
2021,121.0,Dovercourt,EL,K to Gr 6,53.5736367251,-113.561480612,Northwest,EPSB WARD C
2021,951.0,Ivor Dent,EJ,K to Gr 9,53.5636671203,-113.390311404,Central,EPSB WARD D
2021,509.0,Garneau,EL,K to Gr 6,53.5226700159,-113.513570404,South Central,EPSB WARD F
2021,577.0,Bessie Nichols,EJ,K to Gr 9,53.4871395387,-113.671611134,West,EPSB WARD E
2021,239.0,Kameyosek,EL,K to Gr 6,53.4607763441,-113.441485567,Southeast 1,EPSB WARD I
2021,187.0,Princeton,EL,K to Gr 6,53.5897659064,-113.459697737,North,EPSB WARD B
2021,531.0,Parkview,EJ,K to Gr 9,53.5270171038,-113.568467979,Northwest,EPSB WARD E
2021,535.0,Rosslyn,JR,Gr 7-9,53.5924950967,-113.515912358,North,EPSB WARD A
2021,201.0,Richard Secord,EL,K to Gr 6,53.4770223185,-113.534625582,Southwest 1,EPSB WARD F
2021,113.0,Calder,EL,K to Gr 6,53.5886576768,-113.525571028,North,EPSB WARD A
2021,136.0,Inglewood,EL,K to Gr 6,53.5660873526,-113.540465369,Central,EPSB WARD C
2021,107.0,Belgravia,EL,K to Gr 6,53.5099455076,-113.531494605,South Central,EPSB WARD F
2021,106.0,Beacon Heights,EL,K to Gr 6,53.575478433,-113.413955146,Central,EPSB WARD D
2021,255.0,Hillview,EL,K to Gr 6,53.4677111433,-113.428136261,Southeast 1,EPSB WARD G
2021,574.0,Kate Chegwin,JR,Gr 7-9,53.4625851754,-113.415066453,Southeast 1,EPSB WARD I
2021,234.0,Aldergrove,EL,K to Gr 6,53.5184225509,-113.636195606,Northwest,EPSB WARD C
2021,529.0,Parkallen,EL,K to Gr 6,53.5042053849,-113.519346277,South Central,EPSB WARD F
2021,269.0,Lymburn,EL,K to Gr 6,53.5056025933,-113.646700126,West,EPSB WARD E
2021,457.0,Florence Hallock,EJ,K to Gr 9,53.6270228428,-113.474354261,North,EPSB WARD A
2021,268.0,Alex Janvier,JR,Gr 4-9,-113.609878239,53.5333195901,Northwest,EPSB WARD E
2021,104.0,Athlone,EL,K to Gr 6,53.5883021136,-113.544840146,North,EPSB WARD A
2021,274.0,Minchau,EL,K to Gr 6,53.4677145604,-113.408363596,Southeast 1,EPSB WARD G
2021,528.0,Ottewell,JR,Gr 7-9,53.5315993673,-113.439283809,South Central,EPSB WARD G
2021,246.0,Dunluce,EL,K to Gr 6,53.6222028196,-113.527547308,North,EPSB WARD A
2021,115.0,Coronation,EL,K to Gr 6,53.5550956037,-113.560815996,Northwest,EPSB WARD C
2021,178.0,Greenfield,EL,K to Gr 6,53.4722638011,-113.526849415,Southwest 1,EPSB WARD F
2021,218.0,Duggan,EL,K to Gr 6,53.4716172741,-113.50516993,Southwest 1,EPSB WARD F
2021,502.0,Balwin,EJ,K to Gr 9,53.591945194,-113.44978618,North,EPSB WARD B
2021,208.0,Lynnwood,EL,K to Gr 6,53.5169039786,-113.587880372,Northwest,EPSB WARD E
2021,517.0,King Edward,EL,K to Gr 6,53.5214244871,-113.49193233,South Central,EPSB WARD F
2021,129.0,Grovenor,EL,K to Gr 6,53.5450216831,-113.568459482,Northwest,EPSB WARD C
2021,277.0,Lago Lindo,EL,K to Gr 6,53.6357586417,-113.48747736,North,EPSB WARD A
2021,516.0,Killarney,JR,Gr 7-9,53.5912492333,-113.48186786,North,EPSB WARD A
2021,254.0,Keheewin,EL,K to Gr 6,53.4490458579,-113.501500405,Southwest 1,EPSB WARD H
2021,270.0,Tipaskan,EL,K to Gr 6,53.4630232185,-113.45898046,Southeast 1,EPSB WARD I
2021,51.0,Eastglen,SR,Gr 10-12,53.5678141687,-113.445498138,Central,EPSB WARD D
2021,52.0,Queen Elizabeth,SR,Gr 10-12,53.5910253328,-113.488282294,North,EPSB WARD A
2021,55.0,Victoria,EJS,K to Gr 12,53.5533424048,-113.495346164,Central,EPSB WARD C
2021,232.0,Rideau Park,EL,K to Gr 6,53.478604419,-113.505513319,Southwest 1,EPSB WARD F
2021,521.0,John A. McDougall,EL,K to Gr 6,53.5555274783,-113.505484389,Central,EPSB WARD C
2021,505.0,Donnan,EL,K to Gr 6,53.5144576442,-113.460702021,South Central,EPSB WARD G
2021,171.0,Scott Robertson,EL,K to Gr 6,53.596882392,-113.504545006,North,EPSB WARD A
2021,569.0,Winterburn,EL,K to Gr 6,53.5348932145,-113.688397173,Northwest,EPSB WARD C
2021,182.0,Windsor Park,EL,K to Gr 6,53.5239301564,-113.534868074,South Central,EPSB WARD F
2021,126.0,Glenora,EL,K to Gr 6,53.5439353019,-113.555483812,Northwest,EPSB WARD C
2021,128.0,Grandview Heights,EJ,Gr 1-9,53.4997054681,-113.546622058,South Central,EPSB WARD F
2021,168.0,Riverdale,EL,K to Gr 6,53.5435343756,-113.46842726,Central,EPSB WARD D
2021,156.0,Norwood,EL,K to Gr 6,53.5603391193,-113.487706163,Central,EPSB WARD D
2021,249.0,Meyonohk,EL,K to Gr 6,53.4552352013,-113.454041694,Southeast 1,EPSB WARD I
2021,194.0,Delwood,EL,K to Gr 6,53.5964245923,-113.455359228,North,EPSB WARD B
2021,551.0,Britannia,JR,Gr 7-9,53.5467426377,-113.597911605,Northwest,EPSB WARD C
2021,557.0,Vernon Barford,JR,Gr 7-9,53.4735919923,-113.54232263,Southwest 1,EPSB WARD F
2021,71.0,Jasper Place,SR,Gr 10-12,53.5253255777,-113.603605349,Northwest,EPSB WARD E
2021,802.0,Thelma Chalifoux,JR,Gr 7-9,53.48072829,-113.3823897,Southeast 1,EPSB WARD G
